school_name,school_type,state,city,programs_offered,total_enrollment,veteran_enrollment,yellow_ribbon_program,in_state_tuition,out_of_state_tuition,housing_allowance_rate,graduation_rate,veteran_graduation_rate,post_graduation_employment_rate,gi_bill_students,veteran_services_office,contact_phone,contact_email,website,notes
Johnson County Community College,Community College,Kansas,Overland Park,"Liberal Arts, Healthcare, Technology",18000,380,Yes,"$2,700","$6,900","$1,089",48%,56%,75%,380,(913) 469-8500,veterans@jccc.edu,https://www.jccc.edu,"Kansas City metro, comprehensive"
Wichita Area Technical College,Technical College,Kansas,Wichita,"Technology, Healthcare, Aviation",1800,55,Yes,"$3,200","$7,800","$1,089",68%,75%,88%,55,(316) 677-9400,veterans@watc.edu,https://www.watc.edu,"Aviation capital, technical programs"
Bluegrass Community and Technical College,Community College,Kentucky,Lexington,"Business, Healthcare, Technology",12000,265,Yes,"$4,500","$16,500","$1,089",38%,46%,68%,265,(859) 246-6200,veterans@bluegrass.kctcs.edu,https://www.bluegrass.kctcs.edu,"Central Kentucky, strong programs"
Jefferson Community and Technical College,Community College,Kentucky,Louisville,"Liberal Arts, Healthcare, Technology",14000,310,Yes,"$4,600","$16,800","$1,089",42%,50%,72%,310,(502) 213-4000,veterans@jefferson.kctcs.edu,https://www.jefferson.kctcs.edu,"Louisville area, comprehensive"
Delgado Community College,Community College,Louisiana,New Orleans,"Liberal Arts, Healthcare, Technology",18000,420,Yes,"$3,500","$7,800","$1,278",32%,42%,65%,420,(504) 671-5000,veterans@dcc.edu,https://www.dcc.edu,"New Orleans, maritime programs"
Baton Rouge Community College,Community College,Louisiana,Baton Rouge,"Business, Technology, Healthcare",8500,195,Yes,"$3,600","$8,200","$1,278",35%,45%,68%,195,(225) 216-8000,veterans@mybrcc.edu,https://www.mybrcc.edu,"State capital, growing campus"
SOWELA Technical Community College,Community College,Louisiana,Lake Charles,"Technology, Healthcare, Industrial",3200,85,Yes,"$3,400","$7,600","$1,278",48%,56%,78%,85,(337) 421-6565,veterans@sowela.edu,https://www.sowela.edu,"Industrial programs, petrochemical"
Southern Maine Community College,Community College,Maine,South Portland,"Liberal Arts, Maritime, Technology",6500,155,Yes,"$3,500","$7,800","$1,485",44%,52%,72%,155,(207) 741-5500,veterans@smccme.edu,https://www.smccme.edu,"Coastal location, maritime programs"
Central Maine Community College,Community College,Maine,Auburn,"Technology, Healthcare, Business",3200,82,Yes,"$3,400","$7,600","$1,485",48%,56%,75%,82,(207) 755-5100,veterans@cmcc.edu,https://www.cmcc.edu,"Central Maine, technical focus"
Montgomery College,Community College,Maryland,Rockville,"Liberal Arts, Healthcare, Technology",60000,1100,Yes,"$4,800","$11,500","$2,181",38%,48%,70%,1100,(240) 567-5000,veterans@montgomerycollege.edu,https://www.montgomerycollege.edu,"Three campuses, DC metro area"
Prince George's Community College,Community College,Maryland,Largo,"Business, Healthcare, Technology",13000,310,Yes,"$4,600","$11,200","$2,181",32%,42%,65%,310,(301) 336-6000,veterans@pgcc.edu,https://www.pgcc.edu,"Near DC, diverse student body"
Anne Arundel Community College,Community College,Maryland,Arnold,"Liberal Arts, Healthcare, Technology",13500,320,Yes,"$4,700","$11,400","$2,181",42%,52%,72%,320,(410) 647-7100,veterans@aacc.edu,https://www.aacc.edu,"Near Annapolis, strong programs"
Howard Community College,Community College,Maryland,Columbia,"Business, Technology, Healthcare",9800,225,Yes,"$4,900","$11,800","$2,181",48%,56%,78%,225,(443) 518-1000,veterans@howardcc.edu,https://www.howardcc.edu,"Between Baltimore and DC"
Bunker Hill Community College,Community College,Massachusetts,Boston,"Liberal Arts, Healthcare, Technology",13000,285,Yes,"$5,800","$11,900","$2,613",28%,38%,62%,285,(617) 228-2000,veterans@bhcc.edu,https://www.bhcc.edu,"Urban campus, diverse programs"
MassBay Community College,Community College,Massachusetts,Wellesley,"Business, Technology, Healthcare",5200,125,Yes,"$5,600","$11,500","$2,613",42%,50%,72%,125,(781) 239-3000,veterans@massbay.edu,https://www.massbay.edu,"West of Boston, strong academics"
Northern Essex Community College,Community College,Massachusetts,Haverhill,"Liberal Arts, Healthcare, Technology",7000,165,Yes,"$5,500","$11,400","$2,613",38%,46%,68%,165,(978) 556-3000,veterans@necc.mass.edu,https://www.necc.mass.edu,"Merrimack Valley, two campuses"
Middlesex Community College,Community College,Massachusetts,Bedford,"Business, Healthcare, Technology",9500,220,Yes,"$5,700","$11,700","$2,613",36%,44%,66%,220,(781) 280-3200,veterans@middlesex.mass.edu,https://www.middlesex.mass.edu,"Multiple campuses, comprehensive"
Grand Rapids Community College,Community College,Michigan,Grand Rapids,"Liberal Arts, Healthcare, Technology",16000,350,Yes,"$3,600","$7,200","$1,089",42%,50%,72%,350,(616) 234-4000,veterans@grcc.edu,https://www.grcc.edu,"West Michigan, strong programs"
Lansing Community College,Community College,Michigan,Lansing,"Business, Technology, Healthcare",18000,395,Yes,"$3,500","$7,000","$1,089",38%,46%,68%,395,(517) 483-1957,veterans@lcc.edu,https://www.lcc.edu,"State capital, comprehensive"
Macomb Community College,Community College,Michigan,Warren,"Liberal Arts, Healthcare, Technology",38000,780,Yes,"$3,400","$6,800","$1,089",36%,44%,66%,780,(586) 445-7999,veterans@macomb.edu,https://www.macomb.edu,"Detroit suburbs, large system"
Oakland Community College,Community College,Michigan,Bloomfield Hills,"Business, Technology, Healthcare",23000,505,Yes,"$3,500","$7,100","$1,089",32%,42%,64%,505,(248) 341-2000,veterans@oaklandcc.edu,https://www.oaklandcc.edu,"Multiple campuses, comprehensive"
Washtenaw Community College,Community College,Michigan,Ann Arbor,"Liberal Arts, Healthcare, Technology",12000,265,Yes,"$3,700","$7,400","$1,089",44%,52%,74%,265,(734) 973-3300,veterans@wccnet.edu,https://www.wccnet.edu,"Ann Arbor area, strong academics"
Mott Community College,Community College,Michigan,Flint,"Business, Technology, Healthcare",9500,215,Yes,"$3,600","$7,200","$1,089",35%,45%,67%,215,(810) 762-0200,veterans@mcc.edu,https://www.mcc.edu,"Flint area, comprehensive programs"
Minneapolis Community and Technical College,Community College,Minnesota,Minneapolis,"Liberal Arts, Healthcare, Technology",10000,235,Yes,"$5,400","$10,400","$1,287",35%,45%,68%,235,(612) 659-6000,veterans@minneapolis.edu,https://www.minneapolis.edu,"Urban campus, diverse programs"
Normandale Community College,Community College,Minnesota,Bloomington,"Business, Technology, Healthcare",9800,225,Yes,"$5,500","$10,600","$1,287",48%,56%,75%,225,(952) 358-8200,veterans@normandale.edu,https://www.normandale.edu,"Suburban Minneapolis, strong transfer"
Saint Paul College,Community College,Minnesota,St. Paul,"Technology, Healthcare, Business",6500,155,Yes,"$5,300","$10,200","$1,287",38%,46%,70%,155,(651) 846-1600,veterans@saintpaul.edu,https://www.saintpaul.edu,"State capital, technical programs"
Anoka-Ramsey Community College,Community College,Minnesota,Coon Rapids,"Liberal Arts, Healthcare, Technology",8500,195,Yes,"$5,400","$10,500","$1,287",44%,52%,73%,195,(763) 433-1100,veterans@anokaramsey.edu,https://www.anokaramsey.edu,"North metro, two campuses"
Hinds Community College,Community College,Mississippi,Raymond,"Liberal Arts, Healthcare, Technology",11000,265,Yes,"$2,800","$5,600","$891",38%,46%,68%,265,(601) 857-5261,veterans@hindscc.edu,https://www.hindscc.edu,"Multiple campuses statewide"
Mississippi Gulf Coast Community College,Community College,Mississippi,Perkinston,"Liberal Arts, Maritime, Technology",9500,235,Yes,"$2,900","$5,800","$891",42%,50%,72%,235,(601) 928-6211,veterans@mgccc.edu,https://www.mgccc.edu,"Coast location, maritime programs"
St. Louis Community College,Community College,Missouri,St. Louis,"Liberal Arts, Healthcare, Technology",24000,520,Yes,"$3,200","$5,100","$1,089",38%,46%,68%,520,(314) 644-9100,veterans@stlcc.edu,https://www.stlcc.edu,"Multiple campuses, comprehensive"
Metropolitan Community College,Community College,Missouri,Kansas City,"Business, Technology, Healthcare",18000,395,Yes,"$3,100","$4,800","$1,089",35%,44%,66%,395,(816) 604-1000,veterans@mcckc.edu,https://www.mcckc.edu,"Kansas City metro, multiple campuses"
State Fair Community College,Community College,Missouri,Sedalia,"Liberal Arts, Technology, Agriculture",4800,115,Yes,"$3,000","$4,600","$1,089",44%,52%,72%,115,(660) 530-5800,veterans@sfccmo.edu,https://www.sfccmo.edu,"Central Missouri, agriculture programs"
Montana State University-Northern,Public University,Montana,Havre,"Engineering, Education, Nursing",1200,35,Yes,"$5,500","$18,200","$990",32%,42%,68%,35,(406) 265-3700,veterans@msun.edu,https://www.msun.edu,"Rural Montana, technical programs"
Flathead Valley Community College,Community College,Montana,Kalispell,"Liberal Arts, Technology, Healthcare",2200,58,Yes,"$3,800","$10,200","$990",42%,50%,72%,58,(406) 756-3822,veterans@fvcc.edu,https://www.fvcc.edu,"Near Glacier Park, outdoor programs"
Metropolitan Community College,Community College,Nebraska,Omaha,"Business, Healthcare, Technology",16000,350,Yes,"$2,800","$4,200","$1,089",38%,46%,68%,350,(402) 457-2400,veterans@mccneb.edu,https://www.mccneb.edu,"Omaha metro, multiple campuses"
Southeast Community College,Community College,Nebraska,Lincoln,"Technology, Healthcare, Business",10000,235,Yes,"$2,900","$4,400","$1,089",52%,60%,78%,235,(402) 471-3333,veterans@southeast.edu,https://www.southeast.edu,"Multiple campuses, technical focus"
College of Southern Nevada,Community College,Nevada,Las Vegas,"Liberal Arts, Hospitality, Healthcare",37000,780,Yes,"$3,000","$10,500","$1,683",28%,38%,62%,780,(702) 651-5610,veterans@csn.edu,https://www.csn.edu,"Largest in Nevada, hospitality programs"
Truckee Meadows Community College,Community College,Nevada,Reno,"Liberal Arts, Technology, Healthcare",11000,255,Yes,"$3,100","$10,800","$1,485",36%,45%,68%,255,(775) 673-7000,veterans@tmcc.edu,https://www.tmcc.edu,"Reno area, comprehensive programs"
NHTI-Concord's Community College,Community College,New Hampshire,Concord,"Liberal Arts, Technology, Healthcare",4200,105,Yes,"$6,500","$14,800","$1,485",42%,50%,72%,105,(603) 271-6484,veterans@ccsnh.edu,https://www.nhti.edu,"State capital, technical programs"
Manchester Community College,Community College,New Hampshire,Manchester,"Business, Healthcare, Technology",3200,85,Yes,"$6,600","$15,200","$1,485",38%,46%,68%,85,(603) 206-8000,veterans@ccsnh.edu,https://www.mccnh.edu,"Largest city in NH"
Bergen Community College,Community College,New Jersey,Paramus,"Liberal Arts, Healthcare, Technology",14000,310,Yes,"$4,800","$9,600","$2,181",38%,46%,68%,310,(201) 447-7100,veterans@bergen.edu,https://www.bergen.edu,"Northern NJ, comprehensive"
Middlesex County College,Community College,New Jersey,Edison,"Business, Technology, Healthcare",12000,275,Yes,"$4,600","$9,200","$2,181",42%,50%,72%,275,(732) 548-6000,veterans@middlesexcc.edu,https://www.middlesexcc.edu,"Central NJ, strong programs"
Camden County College,Community College,New Jersey,Blackwood,"Liberal Arts, Healthcare, Technology",9500,220,Yes,"$4,500","$9,000","$2,181",36%,44%,66%,220,(856) 227-7200,veterans@camdencc.edu,https://www.camdencc.edu,"South Jersey, comprehensive"
Passaic County Community College,Community College,New Jersey,Paterson,"Business, Technology, Healthcare",8800,205,Yes,"$4,700","$9,400","$2,181",32%,42%,64%,205,(973) 684-6868,veterans@pccc.edu,https://www.pccc.edu,"North Jersey, diverse programs"
Central New Mexico Community College,Community College,New Mexico,Albuquerque,"Liberal Arts, Healthcare, Technology",23000,520,Yes,"$1,500","$7,200","$1,188",32%,42%,65%,520,(505) 224-3000,veterans@cnm.edu,https://www.cnm.edu,"Largest in NM, affordable"
Santa Fe Community College,Community College,New Mexico,Santa Fe,"Liberal Arts, Arts, Technology",4500,115,Yes,"$1,600","$2,500","$1,188",38%,46%,68%,115,(505) 428-1000,veterans@sfcc.edu,https://www.sfcc.edu,"State capital, arts programs"
Monroe Community College,Community College,New York,Rochester,"Liberal Arts, Healthcare, Technology",15000,340,Yes,"$5,100","$9,700","$1,836",38%,46%,68%,340,(585) 292-2000,veterans@monroecc.edu,https://www.monroecc.edu,"Rochester area, comprehensive"
Erie Community College,Community College,New York,Buffalo,"Business, Technology, Healthcare",11000,265,Yes,"$5,200","$10,200","$1,836",35%,44%,66%,265,(716) 851-1001,veterans@ecc.edu,https://www.ecc.edu,"Buffalo area, multiple campuses"
Onondaga Community College,Community College,New York,Syracuse,"Liberal Arts, Healthcare, Technology",9500,225,Yes,"$5,000","$9,500","$1,836",42%,50%,72%,225,(315) 498-2622,veterans@sunyocc.edu,https://www.sunyocc.edu,"Central NY, strong programs"
Suffolk County Community College,Community College,New York,Selden,"Liberal Arts, Healthcare, Technology",24000,550,Yes,"$5,300","$10,600","$2,613",32%,42%,64%,550,(631) 451-4110,veterans@sunysuffolk.edu,https://www.sunysuffolk.edu,"Long Island, three campuses"
Westchester Community College,Community College,New York,Valhalla,"Business, Technology, Healthcare",12000,285,Yes,"$5,400","$11,200","$2,613",38%,46%,68%,285,(914) 606-6600,veterans@sunywcc.edu,https://www.sunywcc.edu,"Westchester County, comprehensive"
Rockland Community College,Community College,New York,Suffern,"Liberal Arts, Healthcare, Technology",6500,155,Yes,"$5,200","$10,400","$2,613",36%,44%,66%,155,(845) 574-4000,veterans@sunyrockland.edu,https://www.sunyrockland.edu,"Hudson Valley, strong programs"
Wake Technical Community College,Community College,North Carolina,Raleigh,"Technology, Healthcare, Business",73000,1580,Yes,"$2,600","$8,900","$1,386",42%,52%,74%,1580,(919) 866-5000,veterans@waketech.edu,https://www.waketech.edu,"Research Triangle, largest in NC"
Central Piedmont Community College,Community College,North Carolina,Charlotte,"Liberal Arts, Healthcare, Technology",40000,850,Yes,"$2,500","$8,700","$1,386",38%,48%,70%,850,(704) 330-2722,veterans@cpcc.edu,https://www.cpcc.edu,"Charlotte metro, comprehensive"
Guilford Technical Community College,Community College,North Carolina,Jamestown,"Business, Technology, Healthcare",12000,285,Yes,"$2,600","$8,800","$1,386",36%,46%,68%,285,(336) 334-4822,veterans@gtcc.edu,https://www.gtcc.edu,"Greensboro area, strong programs"
Bismarck State College,Community College,North Dakota,Bismarck,"Technology, Energy, Liberal Arts",4200,105,Yes,"$4,400","$10,900","$990",48%,56%,75%,105,(701) 224-5400,veterans@bismarckstate.edu,https://www.bismarckstate.edu,"State capital, energy programs"
Cuyahoga Community College,Community College,Ohio,Cleveland,"Liberal Arts, Healthcare, Technology",20000,465,Yes,"$3,800","$7,300","$1,089",32%,42%,64%,465,(216) 987-6000,veterans@tri-c.edu,https://www.tri-c.edu,"Cleveland metro, multiple campuses"
Columbus State Community College,Community College,Ohio,Columbus,"Business, Technology, Healthcare",26000,580,Yes,"$4,000","$8,500","$1,089",28%,38%,62%,580,(614) 287-5353,veterans@cscc.edu,https://www.cscc.edu,"State capital, comprehensive"
Sinclair Community College,Community College,Ohio,Dayton,"Liberal Arts, Healthcare, Technology",19000,425,Yes,"$3,900","$7,800","$1,089",35%,45%,68%,425,(937) 512-3000,veterans@sinclair.edu,https://www.sinclair.edu,"Dayton area, strong programs"
Lakeland Community College,Community College,Ohio,Kirtland,"Business, Technology, Healthcare",8500,200,Yes,"$3,700","$7,200","$1,089",38%,46%,70%,200,(440) 525-7000,veterans@lakelandcc.edu,https://www.lakelandcc.edu,"Northeast Ohio, comprehensive"
Tulsa Community College,Community College,Oklahoma,Tulsa,"Liberal Arts, Healthcare, Technology",18000,420,Yes,"$3,400","$9,800","$1,089",36%,45%,68%,420,(918) 595-7000,veterans@tulsacc.edu,https://www.tulsacc.edu,"Multiple campuses, comprehensive"
Oklahoma City Community College,Community College,Oklahoma,Oklahoma City,"Business, Technology, Healthcare,15000,350,Yes,"$3,500","$9,900","$1,089",42%,50%,72%,350,(405) 682-1611,veterans@occc.edu,https://www.occc.edu,"State capital, strong programs"
Portland Community College,Community College,Oregon,Portland,"Liberal Arts, Healthcare, Technology",90000,1850,Yes,"$4,900","$10,800","$1,881",32%,42%,65%,1850,(971) 722-6111,veterans@pcc.edu,https://www.pcc.edu,"Largest in Oregon, four campuses"
Lane Community College,Community College,Oregon,Eugene,"Liberal Arts, Healthcare, Technology",9000,215,Yes,"$4,800","$11,200","$1,683",38%,46%,68%,215,(541) 463-3000,veterans@lanecc.edu,https://www.lanecc.edu,"Eugene area, strong programs"
Community College of Philadelphia,Community College,Pennsylvania,Philadelphia,"Liberal Arts, Healthcare, Technology",19000,445,Yes,"$5,500","$11,200","$2,181",24%,35%,58%,445,(215) 751-8010,veterans@ccp.edu,https://www.ccp.edu,"Urban campus, diverse programs"
Harrisburg Area Community College,Community College,Pennsylvania,Harrisburg,"Business, Technology, Healthcare",18000,410,Yes,"$5,700","$11,600","$1,485",32%,42%,65%,410,(717) 780-2300,veterans@hacc.edu,https://www.hacc.edu,"Multiple campuses, state capital area"
Delaware County Community College,Community College,Pennsylvania,Media,"Liberal Arts, Healthcare, Technology",12000,285,Yes,"$5,600","$11,400","$2,181",36%,45%,68%,285,(610) 359-5000,veterans@dccc.edu,https://www.dccc.edu,"Philadelphia suburbs, comprehensive"
Bucks County Community College,Community College,Pennsylvania,Newtown,"Business, Technology, Healthcare",9500,225,Yes,"$5,800","$11,800","$2,181",38%,46%,70%,225,(215) 968-8000,veterans@bucks.edu,https://www.bucks.edu,"Philadelphia suburbs, strong programs"
Community College of Rhode Island,Community College,Rhode Island,Warwick,"Liberal Arts, Healthcare, Technology",16000,370,Yes,"$4,600","$12,500","$1,836",26%,36%,60%,370,(401) 825-1000,veterans@ccri.edu,https://www.ccri.edu,"Multiple campuses, comprehensive"
Trident Technical College,Community College,South Carolina,Charleston,"Technology, Healthcare, Business",12000,310,Yes,"$5,200","$9,400","$1,386",38%,48%,70%,310,(843) 574-6111,veterans@tridenttech.edu,https://www.tridenttech.edu,"Coastal location, strong programs"
Midlands Technical College,Community College,South Carolina,Columbia,"Business, Technology, Healthcare",11000,275,Yes,"$5,100","$10,200","$1,386",36%,46%,68%,275,(803) 738-8324,veterans@midlandstech.edu,https://www.midlandstech.edu,"State capital, comprehensive"
Greenville Technical College,Community College,South Carolina,Greenville,"Technology, Healthcare, Business",13000,320,Yes,"$5,000","$9,800","$1,386",42%,52%,74%,320,(864) 250-8111,veterans@gvltec.edu,https://www.gvltec.edu,"Upstate SC, BMW partnership"
Southeast Technical College,Technical College,South Dakota,Sioux Falls,"Technology, Healthcare, Business",2200,62,Yes,"$6,100","$6,100","$990",58%,65%,82%,62,(605) 367-7624,veterans@southeasttech.edu,https://www.southeasttech.edu,"Largest city, technical focus"
Southwest Tennessee Community College,Community College,Tennessee,Memphis,"Liberal Arts, Healthcare, Technology",9500,245,Yes,"$4,300","$16,900","$1,089",28%,38%,62%,245,(901) 333-5000,veterans@southwest.tn.edu,https://www.southwest.tn.edu,"Memphis area, comprehensive"
Chattanooga State Community College,Community College,Tennessee,Chattanooga,"Business, Technology, Healthcare",8800,220,Yes,"$4,200","$16,700","$1,089",32%,42%,65%,220,(423) 697-4400,veterans@chattanoogastate.edu,https://www.chattanoogastate.edu,"Southeast TN, strong programs"
Austin Community College,Community College,Texas,Austin,"Liberal Arts, Technology, Healthcare",45000,920,Yes,"$2,700","$9,500","$1,881",38%,46%,68%,920,(512) 223-7000,veterans@austincc.edu,https://www.austincc.edu,"State capital, tech hub"
Tarrant County College,Community College,Texas,Fort Worth,"Business, Technology, Healthcare",52000,1100,Yes,"$2,600","$9,200","$1,386",35%,44%,66%,1100,(817) 515-8223,veterans@tccd.edu,https://www.tccd.edu,"DFW metro, multiple campuses"
San Jacinto College,Community College,Texas,Pasadena,"Liberal Arts, Maritime, Technology",32000,680,Yes,"$2,500","$9,000","$1,881",42%,50%,72%,680,(281) 998-6150,veterans@sjcd.edu,https://www.sjcd.edu,"Houston area, petrochemical programs"
El Paso Community College,Community College,Texas,El Paso,"Liberal Arts, Healthcare, Technology",28000,620,Yes,"$2,400","$5,800","$1,089",32%,42%,64%,620,(915) 831-2000,veterans@epcc.edu,https://www.epcc.edu,"Border city, bilingual programs"
Collin College,Community College,Texas,McKinney,"Business, Technology, Healthcare",58000,1200,Yes,"$2,800","$9,800","$1,386",48%,56%,75%,1200,(972) 881-5898,veterans@collin.edu,https://www.collin.edu,"North Dallas suburbs, rapidly growing"
Lone Star College,Community College,Texas,The Woodlands,"Liberal Arts, Healthcare, Technology",99000,2050,Yes,"$2,700","$9,400","$1,881",36%,45%,68%,2050,(832) 813-6500,veterans@lonestar.edu,https://www.lonestar.edu,"Largest in Texas, Houston area"
Salt Lake Community College,Community College,Utah,Salt Lake City,"Liberal Arts, Healthcare, Technology",24000,550,Yes,"$3,800","$13,400","$1,485",32%,42%,65%,550,(801) 957-4073,veterans@slcc.edu,https://www.slcc.edu,"Multiple campuses, comprehensive"
Utah Valley University,Public University,Utah,Orem,"Business, Technology, Liberal Arts",43000,850,Yes,"$5,800","$17,900","$1,485",42%,52%,72%,850,(801) 863-8396,veterans@uvu.edu,https://www.uvu.edu,"Largest public university in Utah"
Community College of Vermont,Community College,Vermont,Montpelier,"Liberal Arts, Business, Healthcare",6800,165,Yes,"$7,200","$14,400","$1,485",28%,38%,62%,165,(802) 828-2800,veterans@ccv.edu,https://www.ccv.edu,"12 locations statewide"
Northern Virginia Community College,Community College,Virginia,Annandale,"Liberal Arts, Healthcare, Technology",75000,1650,Yes,"$5,200","$11,400","$2,181",38%,48%,70%,1650,(703) 323-3000,veterans@nvcc.edu,https://www.nvcc.edu,"Largest in VA, DC metro"
Tidewater Community College,Community College,Virginia,Norfolk,"Liberal Arts, Maritime, Technology",22000,520,Yes,"$5,000","$11,000","$1,782",35%,45%,68%,520,(757) 822-1122,veterans@tcc.edu,https://www.tcc.edu,"Hampton Roads, military-friendly"
Virginia Western Community College,Community College,Virginia,Roanoke,"Business, Technology, Healthcare",8500,205,Yes,"$4,900","$10,800","$1,386",42%,52%,74%,205,(540) 857-7231,veterans@virginiawestern.edu,https://www.virginiawestern.edu,"Southwest VA, strong programs"
J. Sargeant Reynolds Community College,Community College,Virginia,Richmond,"Liberal Arts, Healthcare, Technology",12000,295,Yes,"$5,100","$11,200","$1,584",32%,42%,65%,295,(804) 371-3000,veterans@reynolds.edu,https://www.reynolds.edu,"State capital area"
Seattle Central College,Community College,Washington,Seattle,"Liberal Arts, Healthcare, Culinary",11000,270,Yes,"$4,200","$9,800","$2,376",32%,42%,65%,270,(206) 934-3800,veterans@seattlecolleges.edu,https://www.seattlecentral.edu,"Urban campus, culinary programs"
Bellevue College,Community College,Washington,Bellevue,"Business, Technology, Healthcare",13000,315,Yes,"$4,400","$10,200","$2,376",42%,52%,72%,315,(425) 564-1000,veterans@bellevuecollege.edu,https://www.bellevuecollege.edu,"Tech hub, strong programs"
Spokane Community College,Community College,Washington,Spokane,"Technology, Healthcare, Business",7500,185,Yes,"$4,100","$9,400","$1,683",38%,46%,70%,185,(509) 533-7000,veterans@scc.spokane.edu,https://www.scc.spokane.edu,"Eastern WA, technical focus"
Tacoma Community College,Community College,Washington,Tacoma,"Liberal Arts, Healthcare, Technology",8200,200,Yes,"$4,200","$9,700","$2,178",36%,45%,68%,200,(253) 566-5000,veterans@tacomacc.edu,https://www.tacomacc.edu,"South Puget Sound"
Green River College,Community College,Washington,Auburn,"Liberal Arts, Aviation, Healthcare",9500,230,Yes,"$4,300","$10,000","$2,178",40%,50%,72%,230,(253) 833-9111,veterans@greenriver.edu,https://www.greenriver.edu,"Aviation programs, Boeing partnership"
South Seattle College,Community College,Washington,Seattle,"Liberal Arts, Wine Technology, Healthcare",5800,145,Yes,"$4,200","$9,800","$2,376",34%,44%,66%,145,(206) 934-5300,veterans@seattlecolleges.edu,https://www.southseattle.edu,"Wine technology, culinary programs"
Blue Ridge Community and Technical College,Community College,West Virginia,Martinsburg,"Liberal Arts, Healthcare, Technology",4200,105,Yes,"$4,200","$9,800","$1,089",38%,46%,68%,105,(304) 260-4380,veterans@blueridgectc.edu,https://www.blueridgectc.edu,"Eastern Panhandle"
BridgeValley Community and Technical College,Community College,West Virginia,South Charleston,"Technology, Healthcare, Business",3800,95,Yes,"$4,100","$9,600","$1,089",42%,50%,72%,95,(304) 205-6600,veterans@bridgevalley.edu,https://www.bridgevalley.edu,"Charleston area"
Milwaukee Area Technical College,Community College,Wisconsin,Milwaukee,"Technology, Healthcare, Business",33000,720,Yes,"$4,500","$9,200","$1,386",32%,42%,65%,720,(414) 297-6282,veterans@matc.edu,https://www.matc.edu,"Largest in WI, urban campus"
Madison Area Technical College,Community College,Wisconsin,Madison,"Liberal Arts, Healthcare, Technology",15000,340,Yes,"$4,600","$9,600","$1,386",42%,52%,74%,340,(608) 246-6100,veterans@madisoncollege.edu,https://www.madisoncollege.edu,"State capital, strong programs"
Waukesha County Technical College,Community College,Wisconsin,Pewaukee,"Technology, Healthcare, Business",8500,200,Yes,"$4,400","$9,000","$1,386",48%,56%,78%,200,(262) 691-5566,veterans@wctc.edu,https://www.wctc.edu,"Milwaukee suburbs, technical focus"
Fox Valley Technical College,Community College,Wisconsin,Appleton,"Technology, Healthcare, Business",11000,260,Yes,"$4,500","$9,300","$1,386",52%,60%,80%,260,(920) 735-5600,veterans@fvtc.edu,https://www.fvtc.edu,"Northeast WI, strong programs"
Casper College,Community College,Wyoming,Casper,"Liberal Arts, Energy, Healthcare",4000,105,Yes,"$2,600","$6,900","$990",42%,50%,72%,105,(307) 268-2100,veterans@caspercollege.edu,https://www.caspercollege.edu,"Energy programs, outdoor rec"
Western Wyoming Community College,Community College,Wyoming,Rock Springs,"Liberal Arts, Energy, Healthcare",2800,75,Yes,"$2,500","$6,600","$990",38%,46%,68%,75,(307) 382-1600,veterans@westernwyoming.edu,https://www.westernwyoming.edu,"Energy corridor, mining programs"
Embry-Riddle Aeronautical University,Private University,Florida,Daytona Beach,"Aviation, Aerospace Engineering, Aeronautics",34000,1200,Yes,"$39,900","$39,900","$1,779",68%,75%,92%,1200,(386) 226-6100,military@erau.edu,https://www.erau.edu,"Top aviation school, military-friendly"
University of Maryland University College,Public University,Maryland,Adelphi,"Business, Cybersecurity, IT Management",90000,18000,Yes,"$7,200","$12,240","$2,181",32%,45%,78%,18000,(800) 888-8682,veterans@umgc.edu,https://www.umgc.edu,"Largest veteran enrollment, online focus"
American Military University,Private University,Online,Charles Town,"Military Studies, Intelligence, Cybersecurity",85000,12000,Yes,"$6,300","$6,300","$0",28%,38%,72%,12000,(877) 468-6268,veteranservices@apus.edu,https://www.amu.apus.edu,"Military-focused, 100% online"
Southern New Hampshire University,Private University,New Hampshire,Manchester,"Business, IT, Liberal Arts",165000,8500,Yes,"$31,200","$31,200","$1,485",42%,58%,85%,8500,(603) 668-2211,military@snhu.edu,https://www.snhu.edu,"Large online program, veteran-friendly"
Liberty University,Private University,Virginia,Lynchburg,"Business, Theology, Healthcare",110000,6500,Yes,"$23,800","$23,800","$1,584",52%,65%,82%,6500,(434) 582-2000,militaryaffairs@liberty.edu,https://www.liberty.edu,"Large online program, military discounts"
Arizona State University,Public University,Arizona,Tempe,"Business, Engineering, Liberal Arts",140000,8200,Yes,"$11,600","$29,400","$1,881",65%,72%,88%,8200,(480) 965-7788,veteranservices@asu.edu,https://www.asu.edu,"Pat Tillman Veterans Center, large program"
Penn State World Campus,Public University,Pennsylvania,University Park,"Business, Engineering, Liberal Arts",12000,2400,Yes,"$15,900","$15,900","$1,485",48%,62%,85%,2400,(814) 865-5403,worldcampusveterans@psu.edu,https://www.worldcampus.psu.edu,"Online programs, Penn State reputation"
University of Phoenix,Private University,Arizona,Phoenix,"Business, Healthcare, Technology",84000,15000,No,"$9,552","$9,552","$0",22%,32%,68%,15000,(866) 766-0766,military@phoenix.edu,https://www.phoenix.edu,"Large online program, military discounts"
